,Number of triples,Number of triples_p-value,Number of triples (metadata),Number of triples (metadata)_p-value,Accuracy,Accuracy_p-value,Age of data,Age of data_p-value,Amount of data,Amount of data_p-value,Author (metadata),Author (metadata)_p-value,Availability for download (metadata),Availability for download (metadata)_p-value,Availability for download (query),Availability for download (query)_p-value,Availability of RDF dump (metadata),Availability of RDF dump (metadata)_p-value,Availability of RDF dump (query),Availability of RDF dump (query)_p-value,Availability,Availability_p-value,Believability,Believability_p-value,Clustering coefficient,Clustering coefficient_p-value,Completeness,Completeness_p-value,Conciseness,Conciseness_p-value,Consistency,Consistency_p-value,Currency,Currency_p-value,Degree of connection,Degree of connection_p-value,Deprecated classes/properties used,Deprecated classes/properties used_p-value,Entities as member of disjoint class,Entities as member of disjoint class_p-value,Functional properties with inconsistent values,Functional properties with inconsistent values_p-value,Inactive links,Inactive links_p-value,Interlinking completeness,Interlinking completeness_p-value,Interlinking,Interlinking_p-value,Interpretability,Interpretability_p-value,Invalid usage of inverse-functional properties,Invalid usage of inverse-functional properties_p-value,Is on a trusted provider list,Is on a trusted provider list_p-value,Languages (query),Languages (query)_p-value,License human redeable,License human redeable_p-value,License machine redeable (metadata),License machine redeable (metadata)_p-value,Licensing,Licensing_p-value,Limited,Limited_p-value,Max length URIs (object),Max length URIs (object)_p-value,Max length URIs (predicate),Max length URIs (predicate)_p-value,Max length URIs (subject),Max length URIs (subject)_p-value,MaxTPNoOff,MaxTPNoOff_p-value,Maximum throughput,Maximum throughput_p-value,Min length URIs (object),Min length URIs (object)_p-value,Min length URIs (predicate),Min length URIs (predicate)_p-value,Min length URIs (subject),Min length URIs (subject)_p-value,MinTPNoOff,MinTPNoOff_p-value,Minimum throughput,Minimum throughput_p-value,Modification date,Modification date_p-value,Normalized,Normalized_p-value,Number of blank nodes,Number of blank nodes_p-value,Number of entities,Number of entities_p-value,Number of labels/comments present on the data,Number of labels/comments present on the data_p-value,Number of property,Number of property_p-value,Number of samAs chains,Number of samAs chains_p-value,Number of triples (query),Number of triples (query)_p-value,Number of triples linked,Number of triples linked_p-value,Number of triples updated,Number of triples updated_p-value,Ontology Hijacking problem,Ontology Hijacking problem_p-value,Performance,Performance_p-value,Presence of example,Presence of example_p-value,Rep. Conciseness,Rep. Conciseness_p-value,Interoperability,Interoperability_p-value,Reputation,Reputation_p-value,Requires authentication,Requires authentication_p-value,Score,Score_p-value,Security,Security_p-value,Signed,Signed_p-value,Sparql endpoint,Sparql endpoint_p-value,Time elapsed since last modification,Time elapsed since last modification_p-value,Triples with empty annotation problem,Triples with empty annotation problem_p-value,Triples with malformed data type literals problem,Triples with malformed data type literals problem_p-value,Triples with misplaced class problem,Triples with misplaced class problem_p-value,Triples with misplaced property problem,Triples with misplaced property problem_p-value,Triples with white space in annotation(at the beginning or at the end),Triples with white space in annotation(at the beginning or at the end)_p-value,URIs Deferenceability,URIs Deferenceability_p-value,Undefined class used without declaration,Undefined class used without declaration_p-value,Undefined properties used without declaration,Undefined properties used without declaration_p-value,Understandability,Understandability_p-value,Use HTTPS,Use HTTPS_p-value,Use RDF structures,Use RDF structures_p-value,Uses RDF structures,Uses RDF structures_p-value,Verifiability,Verifiability_p-value,Versatility,Versatility_p-value,Timeliness,Timeliness_p-value
Availability,-0.47,***,-0.01,,0.07,,-0.31,**,-0.06,,,,0.37,***,0.31,**,0.37,***,0.31,**,1.0,***,0.16,,,,0.34,***,-0.19,*,-0.41,***,0.02,,-0.4,***,0.42,***,0.96,***,,,-0.8,***,0.36,***,0.32,***,-0.22,*,,,0.43,**,,,0.04,,,,0.23,*,-0.34,**,0.39,***,0.01,,-0.31,**,0.11,,0.1,,0.32,**,0.13,,0.08,,0.1,,0.09,,,,0.06,,-0.14,,-0.2,,-0.45,***,-0.11,,-0.09,,-0.47,***,-0.13,,-0.08,,,,0.2,*,-0.16,,0.21,*,0.38,***,-0.21,*,,,0.06,,-0.34,***,,,,,-0.29,*,,,-0.08,,,,-0.07,,-0.58,***,0.63,***,-0.18,,-0.54,***,-0.34,***,-0.33,***,-0.22,*,-0.22,*,-0.07,,0.72,***,-0.36,***
Believability,0.29,**,0.42,***,-0.03,,-0.04,,-0.12,,,,-0.09,,0.26,**,-0.09,,0.26,**,0.16,,1.0,***,,,0.09,,0.23,*,0.21,*,-0.26,**,0.11,,-0.06,,0.56,**,,,-0.17,,0.09,,0.2,*,0.13,,,,0.79,***,,,0.35,**,,,0.12,,0.19,,0.04,,0.21,,0.12,,0.25,*,0.24,*,-0.06,,-0.02,,0.13,,0.17,,0.16,,,,0.34,***,0.3,**,0.44,**,0.36,***,0.3,**,0.47,***,0.29,**,0.39,***,0.24,*,,,0.15,,0.31,**,0.34,***,-0.02,,0.4,***,,,0.34,***,-0.09,,,,,,-0.14,,,,0.12,,,,-0.09,,-0.0,,0.09,,0.01,,-0.14,,0.26,**,-0.09,,0.02,,0.02,,0.41,***,0.03,,0.14,
Clustering coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Completeness,-0.36,***,0.14,,0.14,,-0.4,***,-0.05,,,,0.15,,0.06,,0.15,,0.06,,0.34,***,0.09,,,,1.0,***,-0.05,,-0.12,,-0.25,**,-0.01,,0.2,,0.2,,,,-0.21,*,1.0,***,0.29,**,0.05,,,,0.0,,,,-0.08,,,,0.02,,-0.41,***,0.12,,-0.09,,-0.05,,0.08,,0.08,,0.34,**,0.28,*,0.19,,0.09,,0.09,,,,0.08,,-0.27,**,-0.48,**,-0.22,*,-0.17,,-0.09,,-0.36,***,0.25,**,-0.23,*,,,0.22,*,0.04,,0.04,,0.18,,0.19,*,,,0.08,,-0.05,,,,,,-0.14,,,,-0.21,,,,0.23,*,-0.16,,0.35,**,0.0,,-0.38,***,-0.0,,-0.06,,-0.22,*,-0.22,*,0.16,,0.25,**,-0.32,***
Conciseness,0.28,**,0.37,***,0.11,,0.14,,0.06,,,,0.0,,-0.27,**,0.0,,-0.27,**,-0.19,*,0.23,*,,,-0.05,,1.0,***,0.67,***,-0.41,***,0.11,,-0.1,,-0.77,***,,,0.01,,-0.04,,-0.03,,0.42,***,,,-0.06,,,,0.2,,,,0.11,,0.12,,-0.3,**,0.11,,0.03,,0.14,,0.13,,-0.06,,-0.09,,-0.17,,0.2,*,0.21,*,,,0.46,***,0.12,,0.52,***,0.44,***,0.21,*,0.21,*,0.28,**,0.39,***,0.05,,,,0.08,,0.03,,0.23,*,-0.21,*,0.42,***,,,0.46,***,-0.01,,,,,,-0.02,,,,-0.08,,,,0.23,*,0.1,,-0.24,*,0.24,*,0.08,,0.33,***,-0.03,,0.29,**,0.29,**,0.28,**,-0.19,*,0.44,***
Consistency,0.51,***,0.42,***,0.33,***,0.41,***,0.41,***,,,-0.22,*,-0.26,**,-0.22,*,-0.26,**,-0.41,***,0.21,*,,,-0.12,,0.67,***,1.0,***,-0.42,***,0.4,***,-0.65,***,-0.94,***,,,0.13,,-0.13,,0.09,,0.57,***,,,-0.1,,,,0.49,***,,,0.13,,0.28,*,-0.33,**,0.32,**,0.45,***,0.15,,0.16,,-0.54,***,-0.26,*,-0.26,*,0.24,*,0.31,**,,,0.6,***,0.29,**,0.54,***,0.73,***,0.48,***,0.42,***,0.51,***,0.39,***,0.35,**,,,0.13,,0.14,,0.2,*,-0.38,***,0.45,***,,,0.6,***,-0.12,,,,,,0.06,,,,0.27,*,,,0.21,*,0.45,***,-0.57,***,0.41,***,0.29,**,0.57,***,-0.14,,0.46,***,0.46,***,0.4,***,-0.34,***,0.63,***
Currency,-0.01,,-0.16,,-0.25,**,,,-0.03,,,,0.04,,-0.19,*,0.04,,-0.19,*,0.02,,-0.26,**,,,-0.25,**,-0.41,***,-0.42,***,1.0,***,-0.27,*,0.28,*,0.23,,,,-0.01,,-0.27,**,-0.21,*,-0.47,***,,,0.0,,,,-0.08,,,,0.05,,0.19,,-0.0,,-0.02,,-0.12,,-0.09,,-0.07,,0.07,,0.04,,0.18,,-0.08,,-0.18,,,,-0.26,**,0.13,,0.21,,-0.37,***,-0.19,,-0.18,,-0.01,,-0.29,**,0.19,,,,-0.02,,-0.23,*,-0.22,*,0.05,,-0.34,***,,,-0.25,**,0.12,,,,,,,,,,-0.01,,,,-0.38,***,-0.03,,-0.03,,-0.28,*,0.17,,-0.51,***,0.15,,-0.08,,-0.08,,-0.4,***,-0.07,,-0.22,*
Degree of connection,0.49,***,0.33,**,0.04,,0.21,,0.13,,,,0.04,,-0.24,*,0.04,,-0.24,*,-0.4,***,0.11,,,,-0.01,,0.11,,0.4,***,-0.27,*,1.0,***,-0.39,**,-0.47,*,,,0.3,**,-0.01,,0.04,,0.42,***,,,0.03,,,,-0.0,,,,-0.19,,0.14,,-0.17,,-0.23,,0.27,*,-0.04,,-0.04,,-0.04,,0.13,,0.1,,-0.03,,0.01,,,,0.05,,-0.19,,0.34,*,0.56,***,0.25,*,0.29,**,0.49,***,0.58,***,-0.02,,,,-0.24,*,0.13,,-0.21,,-0.35,**,0.67,***,,,0.04,,0.2,,,,,,0.01,,,,0.02,,,,0.36,**,0.45,***,-0.34,**,0.15,,0.52,***,0.43,***,0.18,,0.07,,0.07,,0.07,,-0.37,***,0.32,**
Deprecated classes/properties used,-0.47,***,-0.13,,-0.14,,-0.79,***,-0.33,**,,,0.05,,-0.07,,0.05,,-0.07,,0.42,***,-0.06,,,,0.2,,-0.1,,-0.65,***,0.28,*,-0.39,**,1.0,***,-0.21,,,,-0.18,,0.21,,-0.17,,-0.33,**,,,0.18,,,,-0.31,,,,0.02,,-0.2,,0.08,,-0.27,*,-0.5,***,0.24,*,0.23,*,0.41,***,0.29,*,-0.08,,0.16,,0.07,,,,-0.22,*,-0.16,,-0.35,,-0.58,***,-0.37,**,-0.26,*,-0.47,***,-0.25,*,0.06,,,,0.21,,-0.06,,0.23,*,0.63,***,-0.25,*,,,-0.22,,0.02,,,,,,-0.18,,,,-0.17,,,,-0.23,*,-0.28,*,0.6,***,-0.1,,-0.52,***,-0.6,***,0.02,,-0.16,,-0.16,,-0.49,***,0.31,**,-0.64,***
Entities as member of disjoint class,-0.63,***,-0.0,,,,0.39,*,,,,,-0.39,*,0.89,***,-0.39,*,0.89,***,0.96,***,0.56,**,,,0.2,,-0.77,***,-0.94,***,0.23,,-0.47,*,-0.21,,1.0,***,,,-0.73,***,0.2,,0.9,***,-0.76,***,,,0.6,*,,,0.96,***,,,0.54,**,,,0.71,***,0.57,,0.66,***,0.21,,0.15,,-0.22,,-1.0,***,-0.55,**,0.31,,0.29,,,,0.52,**,0.77,***,0.29,,-0.56,**,0.75,***,0.92,***,-0.63,***,-0.25,,0.84,***,,,0.47,**,0.08,,0.64,***,0.42,*,-0.42,*,,,0.54,**,-0.73,***,,,,,-0.57,**,,,,,,,-0.42,*,-0.65,***,0.97,***,,,-0.86,***,-0.05,,-0.73,***,,,,,0.59,***,0.93,***,-0.29,
Functional properties with inconsistent values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inactive links,0.2,*,-0.12,,-0.03,,0.2,,-0.11,,,,-0.26,**,-0.05,,-0.26,**,-0.05,,-0.8,***,-0.17,,,,-0.21,*,0.01,,0.13,,-0.01,,0.3,**,-0.18,,-0.73,***,,,1.0,***,-0.23,*,-0.26,**,0.03,,,,-0.34,*,,,-0.13,,,,-0.25,**,0.26,*,-0.11,,0.02,,0.27,*,-0.06,,-0.04,,-0.14,,-0.09,,-0.07,,-0.09,,-0.11,,,,-0.16,,-0.06,,0.04,,0.22,*,-0.1,,0.0,,0.2,*,0.02,,-0.08,,,,-0.14,,0.2,*,-0.19,*,-0.35,***,0.07,,,,-0.17,,0.38,***,,,,,0.25,*,,,-0.18,,,,0.01,,0.44,***,-0.27,*,0.0,,0.26,**,0.25,**,0.37,***,0.0,,0.0,,0.01,,-0.4,***,0.22,*
Interlinking completeness,-0.37,***,0.14,,0.11,,-0.43,***,-0.05,,,,0.17,,0.05,,0.17,,0.05,,0.36,***,0.09,,,,1.0,***,-0.04,,-0.13,,-0.27,**,-0.01,,0.21,,0.2,,,,-0.23,*,1.0,***,0.28,**,0.03,,,,0.03,,,,-0.07,,,,0.02,,-0.45,***,0.1,,-0.12,,-0.07,,0.09,,0.09,,0.39,***,0.3,*,0.18,,0.11,,0.1,,,,0.06,,-0.28,**,-0.48,**,-0.25,*,-0.18,,-0.1,,-0.37,***,0.28,**,-0.24,*,,,0.22,*,0.04,,0.01,,0.2,*,0.21,*,,,0.06,,-0.07,,,,,,-0.16,,,,-0.21,,,,0.23,*,-0.19,,0.35,**,0.0,,-0.39,***,-0.02,,-0.08,,-0.24,*,-0.24,*,0.15,,0.26,**,-0.34,***
Interlinking,-0.12,,0.11,,0.47,***,-0.02,,0.21,*,,,0.11,,0.3,**,0.11,,0.3,**,0.32,***,0.2,*,,,0.29,**,-0.03,,0.09,,-0.21,*,0.04,,-0.17,,0.9,***,,,-0.26,**,0.28,**,1.0,***,0.36,***,,,0.16,,,,0.23,,,,0.24,*,-0.06,,0.19,,0.25,*,0.14,,-0.01,,-0.01,,0.05,,-0.05,,0.04,,-0.02,,0.05,,,,0.39,***,-0.05,,-0.29,,0.12,,0.19,,0.51,***,-0.12,,0.1,,0.13,,,,0.1,,0.02,,0.34,***,-0.08,,0.09,,,,0.39,***,-0.01,,,,,,0.07,,,,0.05,,,,-0.04,,-0.15,,0.08,,0.06,,-0.2,*,0.26,**,-0.04,,-0.04,,-0.04,,0.37,***,0.37,***,0.19,*
Interpretability,0.28,**,0.17,,0.44,***,0.19,,0.44,***,,,-0.14,,-0.21,*,-0.14,,-0.21,*,-0.22,*,0.13,,,,0.05,,0.42,***,0.57,***,-0.47,***,0.42,***,-0.33,**,-0.76,***,,,0.03,,0.03,,0.36,***,1.0,***,,,-0.19,,,,0.26,,,,-0.0,,0.01,,-0.06,,0.25,*,0.31,**,0.14,,0.14,,-0.36,***,-0.14,,-0.25,*,0.21,*,0.25,**,,,0.67,***,-0.09,,0.08,,0.63,***,0.22,*,0.37,***,0.28,**,0.26,**,0.12,,,,0.08,,0.17,,0.53,***,-0.18,,0.29,**,,,0.67,***,0.14,,,,,,-0.06,,,,0.22,*,,,0.27,**,0.42,***,-0.16,,0.3,**,0.09,,0.61,***,0.12,,0.13,,0.13,,0.27,**,-0.02,,0.61,***
Invalid usage of inverse-functional properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is on a trusted provider list,-0.12,,0.01,,-0.1,,-0.13,,-0.17,,,,0.05,,0.2,,0.05,,0.2,,0.43,**,0.79,***,,,0.0,,-0.06,,-0.1,,0.0,,0.03,,0.18,,0.6,*,,,-0.34,*,0.03,,0.16,,-0.19,,,,1.0,***,,,0.28,,,,0.12,,0.15,,0.11,,0.31,,0.32,*,0.02,,0.04,,-0.01,,-0.01,,0.09,,-0.1,,-0.12,,,,0.14,,0.16,,0.43,*,-0.04,,0.31,*,0.36,*,-0.12,,0.08,,0.33,,,,0.0,,0.16,,0.33,*,0.33,*,0.14,,,,0.14,,-0.07,,,,,,-0.17,,,,-0.02,,,,-0.3,*,-0.23,,0.3,,-0.01,,-0.25,,-0.14,,-0.1,,-0.03,,-0.03,,0.04,,0.21,,-0.17,
Languages (query),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
