,Number of triples,Number of triples_p-value,Number of triples (metadata),Number of triples (metadata)_p-value,Accuracy,Accuracy_p-value,Age of data,Age of data_p-value,Amount of data,Amount of data_p-value,Author (metadata),Author (metadata)_p-value,Availability for download (metadata),Availability for download (metadata)_p-value,Availability for download (query),Availability for download (query)_p-value,Availability of RDF dump (metadata),Availability of RDF dump (metadata)_p-value,Availability of RDF dump (query),Availability of RDF dump (query)_p-value,Availability,Availability_p-value,Believability,Believability_p-value,Clustering coefficient,Clustering coefficient_p-value,Completeness,Completeness_p-value,Conciseness,Conciseness_p-value,Consistency,Consistency_p-value,Currency,Currency_p-value,Degree of connection,Degree of connection_p-value,Deprecated classes/properties used,Deprecated classes/properties used_p-value,Description,Description_p-value,Entities as member of disjoint class,Entities as member of disjoint class_p-value,Functional properties with inconsistent values,Functional properties with inconsistent values_p-value,Inactive links,Inactive links_p-value,Interlinking completeness,Interlinking completeness_p-value,Interlinking,Interlinking_p-value,Interpretability,Interpretability_p-value,Invalid usage of inverse-functional properties,Invalid usage of inverse-functional properties_p-value,Is on a trusted provider list,Is on a trusted provider list_p-value,Languages (query),Languages (query)_p-value,License human redeable,License human redeable_p-value,License machine redeable (metadata),License machine redeable (metadata)_p-value,Licensing,Licensing_p-value,Limited,Limited_p-value,Max length URIs (object),Max length URIs (object)_p-value,Max length URIs (predicate),Max length URIs (predicate)_p-value,Max length URIs (subject),Max length URIs (subject)_p-value,MaxTPNoOff,MaxTPNoOff_p-value,Maximum throughput,Maximum throughput_p-value,Min length URIs (object),Min length URIs (object)_p-value,Min length URIs (predicate),Min length URIs (predicate)_p-value,Min length URIs (subject),Min length URIs (subject)_p-value,MinTPNoOff,MinTPNoOff_p-value,Minimum throughput,Minimum throughput_p-value,Modification date,Modification date_p-value,Normalized,Normalized_p-value,Number of blank nodes,Number of blank nodes_p-value,Number of entities,Number of entities_p-value,Number of labels/comments present on the data,Number of labels/comments present on the data_p-value,Number of property,Number of property_p-value,Number of samAs chains,Number of samAs chains_p-value,Number of triples (query),Number of triples (query)_p-value,Number of triples linked,Number of triples linked_p-value,Number of triples updated,Number of triples updated_p-value,Ontology Hijacking problem,Ontology Hijacking problem_p-value,Performance,Performance_p-value,Presence of example,Presence of example_p-value,Rep. Conciseness,Rep. Conciseness_p-value,Interoperability,Interoperability_p-value,Reputation,Reputation_p-value,Requires authentication,Requires authentication_p-value,Score,Score_p-value,Security,Security_p-value,Signed,Signed_p-value,Sparql endpoint,Sparql endpoint_p-value,Time elapsed since last modification,Time elapsed since last modification_p-value,Triples with empty annotation problem,Triples with empty annotation problem_p-value,Triples with malformed data type literals problem,Triples with malformed data type literals problem_p-value,Triples with misplaced class problem,Triples with misplaced class problem_p-value,Triples with misplaced property problem,Triples with misplaced property problem_p-value,Triples with white space in annotation(at the beginning or at the end),Triples with white space in annotation(at the beginning or at the end)_p-value,URIs Deferenceability,URIs Deferenceability_p-value,Undefined class used without declaration,Undefined class used without declaration_p-value,Undefined properties used without declaration,Undefined properties used without declaration_p-value,Understandability,Understandability_p-value,Use HTTPS,Use HTTPS_p-value,Use RDF structures,Use RDF structures_p-value,Uses RDF structures,Uses RDF structures_p-value,Verifiability,Verifiability_p-value,Versatility,Versatility_p-value,Timeliness,Timeliness_p-value
Availability,0.24,***,0.12,***,0.53,***,-0.11,,0.49,***,,,0.8,***,-0.21,**,0.8,***,-0.21,**,1.0,***,-0.21,***,,,0.22,***,0.5,***,0.47,***,0.48,***,-0.16,***,0.2,*,,,0.49,**,,,-0.64,***,-0.21,***,0.49,***,0.47,***,,,-0.26,***,,,0.1,,,,0.27,***,-0.35,***,-0.18,*,-0.12,,-0.37,***,0.02,,0.05,,0.27,**,-0.03,,0.16,,0.06,,0.09,,,,0.59,***,-0.07,,-0.52,***,-0.13,,-0.08,,-0.08,,-0.24,**,0.01,,-0.19,*,,,0.53,***,0.01,,0.48,***,0.54,***,-0.09,***,,,0.59,***,0.53,***,,,0.85,***,-0.45,***,,,-0.03,,,,0.07,,0.0,,0.67,***,-0.21,*,-0.15,,0.19,***,-0.23,**,-0.26,**,-0.26,**,0.28,***,0.53,***,0.26,***
Believability,0.29,***,0.34,***,-0.07,**,0.23,*,-0.09,***,,,-0.06,*,0.38,***,-0.06,*,0.38,***,-0.21,***,1.0,***,,,-0.02,,-0.05,*,-0.04,,-0.03,,0.35,***,-0.24,**,,,0.3,,,,0.24,***,0.42,***,-0.07,**,-0.05,*,,,0.75,***,,,0.32,**,,,0.12,***,0.05,,-0.43,***,0.2,*,-0.33,***,0.18,*,0.16,*,0.08,,-0.37,***,0.33,***,0.11,,0.17,*,,,0.36,***,0.06,,-0.11,,0.58,***,0.54,***,0.58,***,0.51,***,0.32,***,-0.27,**,,,-0.07,**,-0.05,*,-0.05,*,-0.07,**,0.27,***,,,0.36,***,-0.08,**,,,0.04,,-0.43,***,,,0.03,,,,-0.16,,0.42,***,0.29,***,0.03,,0.13,,-0.07,**,-0.21,**,-0.12,,-0.12,,0.31,***,-0.07,**,0.02,
Clustering coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Completeness,0.14,***,0.12,***,0.41,***,-0.23,*,0.38,***,,,0.17,***,-0.1,,0.17,***,-0.1,,0.22,***,-0.02,,,,1.0,***,0.41,***,0.38,***,0.37,***,0.06,*,0.11,,,,0.14,,,,-0.06,**,0.1,***,0.41,***,0.4,***,,,-0.07,*,,,-0.06,,,,0.09,***,-0.17,,0.08,,-0.04,,0.02,,0.01,,-0.01,,0.17,*,0.13,,0.11,,0.02,,-0.02,,,,0.21,***,-0.16,*,-0.18,,-0.09,,-0.02,,0.01,,-0.17,*,0.16,***,-0.1,,,,0.39,***,-0.0,,0.43,***,0.39,***,0.1,***,,,0.21,***,0.4,***,,,0.34,***,-0.04,,,,-0.19,*,,,0.15,,-0.04,,0.1,,-0.02,,-0.26,***,0.11,***,0.01,,-0.1,,-0.1,,0.2,***,0.39,***,0.03,
Conciseness,0.4,***,0.2,***,0.95,***,-0.13,,0.82,***,,,0.32,***,-0.09,,0.32,***,-0.09,,0.5,***,-0.05,*,,,0.41,***,1.0,***,0.95,***,0.83,***,0.03,,0.12,,,,-0.48,**,,,-0.09,***,-0.12,***,0.84,***,0.93,***,,,-0.1,***,,,0.03,,,,0.18,***,0.17,,0.26,**,-0.2,*,0.34,***,0.06,,0.05,,-0.14,,0.3,**,-0.25,**,0.13,,0.13,,,,0.48,***,0.23,**,0.65,***,0.05,,-0.01,,0.05,,0.15,,0.17,***,0.32,***,,,0.94,***,-0.03,,0.93,***,0.9,***,0.1,***,,,0.48,***,0.94,***,,,0.89,***,0.24,**,,,-0.02,,,,0.29,***,-0.43,***,-0.4,***,0.1,,-0.2,*,0.27,***,0.05,,0.26,**,0.26,**,0.49,***,0.85,***,0.54,***
Consistency,0.39,***,0.21,***,0.91,***,0.41,***,0.85,***,,,0.31,***,0.36,***,0.31,***,0.36,***,0.47,***,-0.04,,,,0.38,***,0.95,***,1.0,***,0.87,***,0.05,*,-0.68,***,,,-0.49,**,,,-0.09,***,-0.13,***,0.87,***,0.95,***,,,-0.1,***,,,0.29,**,,,0.2,***,0.23,*,-0.18,*,0.27,**,0.23,**,0.12,,0.12,,-0.35,***,-0.07,,0.04,,0.23,**,0.26,***,,,0.47,***,0.22,**,0.63,***,0.66,***,0.64,***,0.51,***,0.66,***,0.18,***,0.07,,,,0.9,***,-0.01,,0.94,***,0.86,***,0.11,***,,,0.47,***,0.89,***,,,0.84,***,-0.13,,,,0.16,,,,0.16,,0.46,***,-0.47,***,0.38,***,0.22,**,0.29,***,-0.11,,0.39,***,0.39,***,0.48,***,0.81,***,0.6,***
Currency,0.39,***,0.22,***,0.82,***,,,0.8,***,,,0.34,***,0.31,***,0.34,***,0.31,***,0.48,***,-0.03,,,,0.37,***,0.83,***,0.87,***,1.0,***,0.06,*,-0.24,**,,,-0.39,*,,,-0.08,***,-0.11,***,0.83,***,0.86,***,,,-0.13,***,,,-0.06,,,,0.22,***,0.1,,0.14,,0.16,,0.29,***,0.05,,0.03,,-0.3,***,0.0,,-0.13,,0.05,,0.04,,,,0.5,***,0.11,,0.12,,0.29,***,0.28,***,0.28,***,0.3,***,0.19,***,0.31,***,,,0.81,***,0.0,,0.85,***,0.87,***,0.11,***,,,0.5,***,0.81,***,,,0.82,***,,,,,0.08,,,,0.21,*,-0.03,,-0.26,**,0.49,***,-0.22,**,0.34,***,-0.03,,0.31,***,0.31,***,0.53,***,0.89,***,0.53,***
Degree of connection,0.32,***,0.38,***,0.01,,0.21,*,0.03,,,,-0.03,,0.39,***,-0.03,,0.39,***,-0.16,***,0.35,***,,,0.06,*,0.03,,0.05,*,0.06,*,1.0,***,-0.43,***,,,-0.34,*,,,0.18,***,0.5,***,0.02,,0.05,*,,,0.29,***,,,0.01,,,,0.02,,0.12,,-0.29,***,-0.08,,0.01,,0.04,,0.03,,-0.01,,0.08,,0.3,***,0.14,,0.17,*,,,0.1,***,0.03,,0.4,**,0.54,***,0.38,***,0.39,***,0.48,***,0.69,***,-0.15,,,,-0.0,,0.17,***,0.04,,0.01,,0.79,***,,,0.1,***,0.0,,,,0.21,***,-0.09,,,,0.09,,,,0.18,*,0.43,***,-0.21,*,0.1,,0.17,*,0.18,***,0.04,,0.03,,0.03,,-0.09,***,0.02,,0.08,***
Deprecated classes/properties used,-0.6,***,-0.22,*,-0.53,***,-0.76,***,-0.71,***,,,-0.12,,-0.72,***,-0.12,,-0.72,***,0.2,*,-0.24,**,,,0.11,,0.12,,-0.68,***,-0.24,**,-0.43,***,1.0,***,,,0.73,***,,,-0.1,,0.13,,-0.28,**,-0.41,***,,,0.02,,,,-0.39,***,,,-0.22,**,-0.15,,0.29,**,-0.36,***,-0.04,,0.21,*,0.18,*,0.29,**,0.38,***,-0.27,**,0.08,,0.0,,,,-0.52,***,0.01,,0.36,*,-0.63,***,-0.52,***,-0.38,***,-0.6,***,-0.31,***,0.29,**,,,0.33,***,-0.13,,0.42,***,0.65,***,-0.4,***,,,-0.52,***,0.04,,,,,,0.05,,,,-0.15,,,,-0.11,,-0.46,***,0.35,***,-0.09,,-0.53,***,-0.61,***,0.04,,-0.11,,-0.11,,-0.56,***,0.25,**,-0.7,***
Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entities as member of disjoint class,-0.42,*,0.3,,-0.37,*,-0.29,,,,,,-0.45,**,-0.53,***,-0.45,**,-0.53,***,0.49,**,0.3,,,,0.14,,-0.48,**,-0.49,**,-0.39,*,-0.34,*,0.73,***,,,1.0,***,,,-0.53,***,0.14,,0.81,***,-0.17,,,,0.47,,,,,,,,-0.19,,,,0.36,*,0.63,,0.28,,-0.01,,-0.04,,0.76,***,-0.4,,0.61,***,-0.14,,-0.18,,,,-0.43,**,0.2,,0.04,,-0.33,*,0.52,**,0.82,***,-0.42,*,-0.03,,-0.0,,,,0.06,,-0.07,,0.44,**,0.16,,-0.23,,,,-0.44,**,-0.64,***,,,,,-0.28,,,,,,,,-0.45,**,0.09,,0.78,***,,,-0.75,***,0.04,,-0.64,***,,,,,-0.13,,0.02,,-0.47,**
Functional properties with inconsistent values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inactive links,0.09,***,0.11,***,-0.12,***,0.14,,-0.12,***,,,-0.25,***,0.19,*,-0.25,***,0.19,*,-0.64,***,0.24,***,,,-0.06,**,-0.09,***,-0.09,***,-0.08,***,0.18,***,-0.1,,,,-0.53,***,,,1.0,***,0.17,***,-0.09,***,-0.08,***,,,0.07,*,,,-0.15,,,,-0.05,*,0.23,**,0.15,,0.04,,0.27,**,0.0,,-0.03,,-0.24,**,0.0,,-0.2,*,-0.02,,-0.05,,,,-0.18,***,0.1,,0.38,**,0.1,,0.01,,0.08,,0.13,,0.15,***,0.08,,,,-0.12,***,0.06,*,-0.09,***,-0.11,***,0.11,***,,,-0.18,***,-0.11,***,,,-0.3,***,0.27,**,,,-0.09,,,,-0.01,,0.01,,-0.23,**,0.2,*,-0.01,,0.03,,0.28,***,0.05,,0.05,,0.01,,-0.09,***,0.01,
Interlinking completeness,0.24,***,0.3,***,-0.14,***,-0.24,**,-0.12,***,,,-0.09,***,-0.12,,-0.09,***,-0.12,,-0.21,***,0.42,***,,,0.1,***,-0.12,***,-0.13,***,-0.11,***,0.5,***,0.13,,,,0.14,,,,0.17,***,1.0,***,-0.13,***,-0.13,***,,,0.28,***,,,-0.06,,,,0.1,***,-0.19,*,0.03,,-0.07,,-0.01,,0.02,,0.0,,0.19,*,0.15,,0.09,,0.04,,-0.01,,,,0.13,***,-0.13,,-0.18,,-0.09,,-0.02,,0.01,,-0.17,*,0.61,***,-0.12,,,,-0.14,***,-0.03,,-0.12,***,-0.13,***,0.47,***,,,0.12,***,-0.14,***,,,-0.21,***,-0.05,,,,-0.18,*,,,0.15,,-0.05,,0.14,,-0.02,,-0.27,***,-0.08,**,-0.0,,-0.11,,-0.11,,0.02,,-0.12,***,-0.11,***
Interlinking,0.39,***,0.16,***,0.92,***,0.09,,0.87,***,,,0.32,***,0.36,***,0.32,***,0.36,***,0.49,***,-0.07,**,,,0.41,***,0.84,***,0.87,***,0.83,***,0.02,,-0.28,**,,,0.81,***,,,-0.09,***,-0.13,***,1.0,***,0.9,***,,,-0.1,***,,,0.17,,,,0.17,***,0.0,,-0.08,,0.2,*,-0.13,,-0.05,,-0.05,,0.05,,-0.29,**,0.26,**,-0.09,,-0.05,,,,0.47,***,-0.09,,-0.43,**,0.32,***,0.3,***,0.52,***,0.18,*,0.14,***,-0.11,,,,0.91,***,-0.02,,0.9,***,0.87,***,0.07,**,,,0.47,***,0.92,***,,,0.86,***,-0.2,*,,,-0.01,,,,-0.15,,0.26,**,0.09,,0.09,,0.04,,0.29,***,-0.04,,-0.08,,-0.08,,0.48,***,0.84,***,0.57,***
Interpretability,0.39,***,0.2,***,0.91,***,0.22,*,0.83,***,,,0.3,***,0.3,***,0.3,***,0.3,***,0.47,***,-0.05,*,,,0.4,***,0.93,***,0.95,***,0.86,***,0.05,*,-0.41,***,,,-0.17,,,,-0.08,***,-0.13,***,0.9,***,1.0,***,,,-0.11,***,,,0.27,**,,,0.2,***,0.07,,-0.06,,-0.02,,0.12,,0.11,,0.12,,-0.27,***,0.05,,0.0,,0.21,**,0.26,***,,,0.47,***,-0.09,,0.37,**,0.55,***,0.31,***,0.35,***,0.54,***,0.17,***,0.04,,,,0.9,***,-0.01,,0.99,***,0.86,***,0.09,***,,,0.47,***,0.9,***,,,0.84,***,-0.25,**,,,0.24,**,,,0.31,***,0.39,***,-0.34,***,0.24,**,0.2,*,0.31,***,0.05,,0.12,,0.12,,0.48,***,0.82,***,0.59,***
Invalid usage of inverse-functional properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
