,Number of triples,Number of triples_p-value,Number of triples (metadata),Number of triples (metadata)_p-value,Accuracy,Accuracy_p-value,Age of data,Age of data_p-value,Amount of data,Amount of data_p-value,Author (metadata),Author (metadata)_p-value,Availability for download (metadata),Availability for download (metadata)_p-value,Availability for download (query),Availability for download (query)_p-value,Availability of RDF dump (metadata),Availability of RDF dump (metadata)_p-value,Availability of RDF dump (query),Availability of RDF dump (query)_p-value,Availability,Availability_p-value,Believability,Believability_p-value,Clustering coefficient,Clustering coefficient_p-value,Completeness,Completeness_p-value,Conciseness,Conciseness_p-value,Consistency,Consistency_p-value,Currency,Currency_p-value,Degree of connection,Degree of connection_p-value,Deprecated classes/properties used,Deprecated classes/properties used_p-value,Entities as member of disjoint class,Entities as member of disjoint class_p-value,Functional properties with inconsistent values,Functional properties with inconsistent values_p-value,Inactive links,Inactive links_p-value,Interlinking completeness,Interlinking completeness_p-value,Interlinking,Interlinking_p-value,Interpretability,Interpretability_p-value,Invalid usage of inverse-functional properties,Invalid usage of inverse-functional properties_p-value,Is on a trusted provider list,Is on a trusted provider list_p-value,Languages (query),Languages (query)_p-value,License human redeable,License human redeable_p-value,License machine redeable (metadata),License machine redeable (metadata)_p-value,Licensing,Licensing_p-value,Limited,Limited_p-value,Max length URIs (object),Max length URIs (object)_p-value,Max length URIs (predicate),Max length URIs (predicate)_p-value,Max length URIs (subject),Max length URIs (subject)_p-value,MaxTPNoOff,MaxTPNoOff_p-value,Maximum throughput,Maximum throughput_p-value,Min length URIs (object),Min length URIs (object)_p-value,Min length URIs (predicate),Min length URIs (predicate)_p-value,Min length URIs (subject),Min length URIs (subject)_p-value,MinTPNoOff,MinTPNoOff_p-value,Minimum throughput,Minimum throughput_p-value,Modification date,Modification date_p-value,Normalized,Normalized_p-value,Number of blank nodes,Number of blank nodes_p-value,Number of entities,Number of entities_p-value,Number of labels/comments present on the data,Number of labels/comments present on the data_p-value,Number of property,Number of property_p-value,Number of samAs chains,Number of samAs chains_p-value,Number of triples (query),Number of triples (query)_p-value,Number of triples linked,Number of triples linked_p-value,Number of triples updated,Number of triples updated_p-value,Ontology Hijacking problem,Ontology Hijacking problem_p-value,Performance,Performance_p-value,Presence of example,Presence of example_p-value,Rep. Conciseness,Rep. Conciseness_p-value,Interoperability,Interoperability_p-value,Reputation,Reputation_p-value,Requires authentication,Requires authentication_p-value,Score,Score_p-value,Security,Security_p-value,Signed,Signed_p-value,Sparql endpoint,Sparql endpoint_p-value,Time elapsed since last modification,Time elapsed since last modification_p-value,Triples with empty annotation problem,Triples with empty annotation problem_p-value,Triples with malformed data type literals problem,Triples with malformed data type literals problem_p-value,Triples with misplaced class problem,Triples with misplaced class problem_p-value,Triples with misplaced property problem,Triples with misplaced property problem_p-value,Triples with white space in annotation(at the beginning or at the end),Triples with white space in annotation(at the beginning or at the end)_p-value,URIs Deferenceability,URIs Deferenceability_p-value,Undefined class used without declaration,Undefined class used without declaration_p-value,Undefined properties used without declaration,Undefined properties used without declaration_p-value,Understandability,Understandability_p-value,Use HTTPS,Use HTTPS_p-value,Use RDF structures,Use RDF structures_p-value,Uses RDF structures,Uses RDF structures_p-value,Verifiability,Verifiability_p-value,Versatility,Versatility_p-value,Timeliness,Timeliness_p-value
Availability,-0.32,***,0.14,,0.17,,-0.02,,0.07,,,,0.48,***,0.03,,0.48,***,0.03,,1.0,***,0.16,,,,0.27,**,0.03,,-0.08,,-0.13,,-0.22,*,0.05,,0.74,***,,,-0.79,***,0.29,**,0.41,***,0.03,,,,0.31,*,,,-0.01,,,,0.19,,-0.33,**,0.21,*,0.05,,-0.05,,0.04,,0.02,,0.21,*,0.02,,0.2,,0.1,,0.08,,,,0.19,*,-0.04,,-0.59,***,-0.13,,0.03,,0.03,,-0.32,***,0.08,,0.01,,,,0.17,,-0.16,,0.21,*,0.07,,0.0,,,,0.19,*,-0.33,***,,,,,-0.05,,,,-0.08,,,,0.02,,-0.39,***,0.29,**,-0.09,,-0.36,***,-0.04,,-0.31,***,-0.12,,-0.12,,0.07,,0.49,***,-0.1,
Believability,0.25,*,0.42,***,-0.14,,-0.03,,-0.12,,,,-0.09,,0.21,*,-0.09,,0.21,*,0.16,,1.0,***,,,0.09,,0.21,*,0.13,,-0.27,**,0.11,,-0.06,,0.34,,,,-0.13,,0.11,,0.17,,0.12,,,,0.79,***,,,0.32,*,,,0.13,,0.16,,0.05,,0.25,*,0.13,,0.23,*,0.24,*,-0.05,,-0.1,,0.11,,0.2,*,0.19,*,,,0.24,*,0.28,**,-0.09,,0.34,***,0.29,**,0.47,***,0.25,*,0.39,***,0.25,*,,,0.22,*,0.31,**,0.29,**,-0.02,,0.4,***,,,0.25,**,-0.09,,,,,,-0.12,,,,0.1,,,,-0.11,,0.02,,0.05,,-0.01,,-0.2,*,0.25,**,-0.09,,0.02,,0.02,,0.31,**,0.08,,0.1,
Clustering coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Completeness,-0.36,***,0.14,,0.14,,-0.37,**,-0.05,,,,0.15,,-0.14,,0.15,,-0.14,,0.27,**,0.09,,,,1.0,***,-0.12,,-0.16,,-0.24,*,-0.01,,0.19,,0.4,*,,,-0.19,*,1.0,***,0.3,**,0.06,,,,-0.02,,,,-0.08,,,,0.04,,-0.41,***,0.13,,-0.04,,-0.06,,0.06,,0.07,,0.35,**,0.12,,0.24,*,0.12,,0.1,,,,0.02,,-0.28,**,-0.4,*,-0.24,*,-0.17,,-0.09,,-0.36,***,0.25,**,-0.21,,,,0.12,,0.04,,-0.01,,0.21,*,0.19,*,,,0.02,,-0.05,,,,,,-0.16,,,,-0.29,**,,,0.17,,-0.11,,0.37,***,-0.0,,-0.45,***,-0.0,,-0.06,,-0.22,*,-0.22,*,0.17,,0.23,*,-0.33,***
Conciseness,0.33,***,0.37,***,0.03,,0.04,,0.12,,,,0.03,,0.15,,0.03,,0.15,,0.03,,0.21,*,,,-0.12,,1.0,***,0.7,***,-0.43,***,0.14,,-0.08,,-0.48,*,,,0.04,,-0.09,,-0.08,,0.35,***,,,-0.05,,,,0.17,,,,0.06,,0.12,,-0.28,**,0.07,,0.06,,0.17,,0.16,,-0.07,,0.05,,0.0,,0.22,*,0.27,**,,,0.42,***,0.15,,0.88,***,0.45,***,0.21,*,0.21,*,0.33,***,0.38,***,0.18,,,,0.11,,0.02,,0.17,,-0.26,**,0.44,***,,,0.43,***,-0.07,,,,,,-0.06,,,,-0.12,,,,0.24,*,0.16,,-0.26,*,0.25,*,0.11,,0.27,**,-0.06,,0.24,*,0.24,*,0.22,*,0.03,,0.39,***
Consistency,0.53,***,0.4,***,0.29,**,0.34,**,0.43,***,,,-0.19,*,0.35,***,-0.19,*,0.35,***,-0.08,,0.13,,,,-0.16,,0.7,***,1.0,***,-0.45,***,0.35,**,-0.65,***,-0.91,***,,,0.08,,-0.17,,0.04,,0.55,***,,,-0.24,,,,0.46,***,,,0.13,,0.29,**,-0.3,**,0.34,**,0.41,***,0.16,,0.16,,-0.56,***,-0.25,*,-0.15,,0.23,*,0.31,***,,,0.62,***,0.31,**,0.76,***,0.68,***,0.42,***,0.36,***,0.53,***,0.34,***,0.39,***,,,0.04,,0.16,,0.23,*,-0.41,***,0.4,***,,,0.62,***,-0.15,,,,,,0.11,,,,0.22,*,,,0.19,,0.4,***,-0.61,***,0.41,***,0.31,**,0.57,***,-0.15,,0.49,***,0.49,***,0.37,***,-0.03,,0.64,***
Currency,-0.05,,-0.23,*,-0.19,*,,,-0.05,,,,-0.01,,-0.35,***,-0.01,,-0.35,***,-0.13,,-0.27,**,,,-0.24,*,-0.43,***,-0.45,***,1.0,***,-0.23,*,0.26,*,0.44,*,,,-0.02,,-0.26,**,-0.2,*,-0.4,***,,,0.04,,,,-0.12,,,,0.02,,0.18,,0.01,,-0.0,,-0.07,,-0.13,,-0.13,,0.07,,-0.04,,-0.07,,-0.14,,-0.19,,,,-0.22,*,0.15,,0.28,,-0.37,***,-0.18,,-0.18,,-0.05,,-0.32,***,0.1,,,,-0.08,,-0.23,*,-0.17,,0.07,,-0.35,***,,,-0.22,*,0.2,*,,,,,,,,,0.0,,,,-0.38,***,-0.03,,0.03,,-0.3,**,0.16,,-0.48,***,0.2,*,-0.11,,-0.11,,-0.37,***,-0.24,*,-0.12,
Degree of connection,0.48,***,0.33,**,-0.02,,0.26,*,0.13,,,,0.04,,0.25,*,0.04,,0.25,*,-0.22,*,0.11,,,,-0.01,,0.14,,0.35,**,-0.23,*,1.0,***,-0.4,***,-0.32,,,,0.32,**,-0.01,,-0.0,,0.41,***,,,0.04,,,,0.05,,,,-0.17,,0.14,,-0.16,,-0.17,,0.29,*,-0.0,,0.02,,-0.02,,0.09,,0.22,,-0.01,,0.04,,,,0.11,,-0.25,*,0.57,***,0.53,***,0.25,*,0.28,*,0.48,***,0.58,***,-0.02,,,,-0.14,,0.13,,-0.24,*,-0.35,**,0.67,***,,,0.1,,0.2,,,,,,0.06,,,,0.11,,,,0.35,**,0.42,***,-0.37,**,0.15,,0.49,***,0.4,***,0.18,,0.07,,0.07,,-0.08,,-0.1,,0.3,**
Deprecated classes/properties used,-0.45,***,-0.11,,-0.16,,-0.76,***,-0.32,**,,,0.07,,-0.62,***,0.07,,-0.62,***,0.05,,-0.06,,,,0.19,,-0.08,,-0.65,***,0.26,*,-0.4,***,1.0,***,0.85,***,,,-0.23,*,0.21,,-0.2,,-0.29,**,,,0.16,,,,-0.32,*,,,0.04,,-0.2,,0.07,,-0.24,,-0.48,***,0.21,,0.19,,0.4,***,0.42,**,-0.16,,0.12,,0.04,,,,-0.31,**,-0.1,,0.35,,-0.54,***,-0.36,**,-0.23,*,-0.45,***,-0.22,*,-0.05,,,,0.27,*,-0.06,,0.21,,0.63,***,-0.25,*,,,-0.3,**,-0.0,,,,,,-0.27,*,,,-0.18,,,,-0.16,,-0.21,,0.52,***,-0.1,,-0.48,***,-0.59,***,0.01,,-0.16,,-0.16,,-0.21,,-0.1,,-0.61,***
Entities as member of disjoint class,-0.39,,0.31,,,,-0.29,,,,,,0.04,,-0.22,,0.04,,-0.22,,0.74,***,0.34,,,,0.4,*,-0.48,*,-0.91,***,0.44,*,-0.32,,0.85,***,1.0,***,,,-0.67,***,0.4,*,0.9,***,-0.41,*,,,0.43,,,,0.77,,,,0.49,*,,,0.27,,1.0,***,0.0,,-0.28,,-0.32,,0.79,***,-1.0,***,0.83,***,-0.34,,-0.33,,,,0.04,,0.51,**,-0.12,,-0.33,,0.47,*,0.9,***,-0.39,,0.1,,0.8,***,,,0.33,,-0.03,,0.41,*,-0.0,,-0.19,,,,0.04,,-0.53,**,,,,,-0.24,,,,,,,,-0.49,*,-0.4,,1.0,***,,,-0.8,***,0.01,,-0.53,**,,,,,0.53,**,0.4,*,-0.51,**
Functional properties with inconsistent values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inactive links,0.2,*,-0.14,,-0.04,,0.22,,-0.13,,,,-0.22,*,0.3,**,-0.22,*,0.3,**,-0.79,***,-0.13,,,,-0.19,*,0.04,,0.08,,-0.02,,0.32,**,-0.23,*,-0.67,***,,,1.0,***,-0.22,*,-0.24,*,0.0,,,,-0.32,*,,,-0.1,,,,-0.23,*,0.24,*,-0.06,,0.0,,0.21,,-0.1,,-0.08,,-0.1,,0.03,,-0.03,,-0.16,,-0.14,,,,-0.17,,-0.09,,0.5,**,0.16,,-0.08,,-0.0,,0.2,*,0.03,,-0.1,,,,-0.24,*,0.16,,-0.25,*,-0.39,***,0.09,,,,-0.17,,0.35,***,,,,,0.25,*,,,-0.11,,,,0.12,,0.33,**,-0.21,*,-0.02,,0.31,**,0.22,*,0.34,***,-0.01,,-0.01,,-0.11,,-0.18,,0.2,*
Interlinking completeness,-0.37,***,0.16,,0.1,,-0.42,***,-0.05,,,,0.17,,-0.15,,0.17,,-0.15,,0.29,**,0.11,,,,1.0,***,-0.09,,-0.17,,-0.26,**,-0.01,,0.21,,0.4,*,,,-0.22,*,1.0,***,0.29,**,0.04,,,,0.02,,,,-0.08,,,,0.05,,-0.45,***,0.12,,-0.07,,-0.08,,0.08,,0.08,,0.4,***,0.14,,0.26,*,0.14,,0.12,,,,-0.01,,-0.3,**,-0.4,*,-0.25,*,-0.17,,-0.09,,-0.37,***,0.3,**,-0.24,*,,,0.13,,0.05,,-0.05,,0.22,*,0.22,*,,,-0.01,,-0.08,,,,,,-0.18,,,,-0.29,*,,,0.17,,-0.11,,0.37,***,0.0,,-0.47,***,-0.03,,-0.08,,-0.23,*,-0.23,*,0.17,,0.22,*,-0.36,***
Interlinking,-0.13,,0.09,,0.47,***,0.12,,0.19,,,,0.1,,0.3,**,0.1,,0.3,**,0.41,***,0.17,,,,0.3,**,-0.08,,0.04,,-0.2,*,-0.0,,-0.2,,0.9,***,,,-0.24,*,0.29,**,1.0,***,0.39,***,,,0.07,,,,0.22,,,,0.27,**,-0.06,,0.23,*,0.28,*,0.16,,0.05,,0.08,,0.06,,-0.07,,0.17,,0.11,,0.06,,,,0.39,***,0.1,,-0.65,***,0.09,,0.16,,0.47,***,-0.13,,0.08,,0.13,,,,0.07,,0.03,,0.35,***,-0.1,,0.08,,,,0.39,***,-0.02,,,,,,0.19,,,,-0.03,,,,-0.08,,-0.18,,0.01,,0.05,,-0.28,**,0.28,**,-0.04,,-0.05,,-0.05,,0.32,***,0.54,***,0.2,*
Interpretability,0.28,**,0.17,,0.43,***,0.17,,0.45,***,,,-0.15,,0.21,*,-0.15,,0.21,*,0.03,,0.12,,,,0.06,,0.35,***,0.55,***,-0.4,***,0.41,***,-0.29,**,-0.41,*,,,0.0,,0.04,,0.39,***,1.0,***,,,-0.16,,,,0.26,*,,,0.02,,0.02,,-0.01,,0.26,*,0.25,*,0.17,,0.19,*,-0.34,**,0.11,,-0.01,,0.25,*,0.25,**,,,0.68,***,-0.04,,0.44,**,0.52,***,0.2,,0.31,**,0.28,**,0.23,*,0.18,,,,-0.01,,0.15,,0.49,***,-0.15,,0.26,**,,,0.68,***,0.12,,,,,,-0.04,,,,0.19,,,,0.3,**,0.31,**,-0.17,,0.3,**,0.08,,0.55,***,0.1,,0.13,,0.13,,0.3,**,0.29,**,0.57,***
Invalid usage of inverse-functional properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is on a trusted provider list,-0.15,,0.0,,-0.19,,-0.12,,-0.18,,,,0.06,,-0.11,,0.06,,-0.11,,0.31,*,0.79,***,,,-0.02,,-0.05,,-0.24,,0.04,,0.04,,0.16,,0.43,,,,-0.32,*,0.02,,0.07,,-0.16,,,,1.0,***,,,0.11,,,,0.05,,0.14,,0.14,,0.35,*,0.37,*,0.03,,0.02,,-0.02,,-0.07,,0.17,,-0.07,,-0.11,,,,0.01,,0.15,,-0.34,,-0.04,,0.28,,0.34,*,-0.15,,0.06,,0.2,,,,0.1,,0.15,,0.3,*,0.27,,0.14,,,,0.01,,-0.08,,,,,,-0.13,,,,-0.01,,,,-0.29,*,-0.22,,0.21,,-0.04,,-0.31,*,-0.16,,-0.11,,-0.03,,-0.03,,-0.04,,0.07,,-0.13,
Languages (query),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
